contributors;repo_name;LANGUAGE
168;tensorflow/serving;C++
114;google/tink;C++
35;google/orbit;C++
42;google/gops;Go
3;ReactiveX/RxGo;Go
48;google/WebFundamentals;HTML
58;google/nomulus;Java
38;apache/helix;Java
29;android/android-test;Java
24;google/graphicsfuzz;Java
3;google/dagger;Java
2;google/blockly;JavaScript
455;OpenMined/PySyft;Jupyter Notebook
49;tensorflow/lucid;Jupyter Notebook
29;tensorflow/adanet;Jupyter Notebook
69;android/compose-samples;Kotlin
14;android/uamp;Kotlin
445;google/jax;Python
274;allenai/allennlp;Python
262;tensorflow/datasets;Python
198;tensorflow/addons;Python
162;google/flax;Python
144;tensorflow/tfx;Python
98;tensorflow/hub;Python
81;google/trax;Python
72;NifTK/NiftyNet;Python
56;deepmind/sonnet;Python
52;tensorflow/privacy;Python
50;microsoft/dowhy;Python
49;tensorflow/mesh;Python
47;google/turbinia;Python
43;google/grr;Python
40;NervanaSystems/coach;Python
37;tensorflow/graphics;Python
33;tensorflow/quantum;Python
31;tensorflow/ranking;Python
24;tensorflow/data-validation;Python
17;tryolabs/luminoth;Python
15;google/tangent;Python
14;google/subpar;Python
12;maciejkula/spotlight;Python
12;Hironsan/anago;Python
10;raghakot/keras-vis;Python
9;DT42/BerryNet;Python
9;ClimbsRocks/auto_ml;Python
73;tensorflow/swift-apis;Swift
206;tensorflow/tfjs;TypeScript
